NAME,ADDRESS,WEBSITE,TWITTER
Creekside Vinyl,"3 Market Street,Faversham, Kent ME13 7AH",https://creeksidevinyl.co.uk/,https://twitter.com/Creeksidevinyl
Cliffs Margate,"172 Northdown Road Margate, England, CT9 2QN United Kingdom",http://www.cliffsmargate.com,https://twitter.com/cliffsmargate
Flashback, https://www.flashback.co.uk/,"50 Essex Road, Islington, London N1 8LR", https://twitter.com/flashbacklondon

