Author, Title, Description, Reviewer Twitter,Initials, Website
Steve Hanley & Olivia Oierkarski, The Big Midweek, "The first insider's account of life inside The Fall", https://twitter.com/Mr_Dave_Haslam, DH, https://www.beckenhambooks.com/
Tom Doyle, Man on the Run: Paul McCartney in the 1970s, "As the 1970s began, the Beatles ended, leaving Paul McCartney to face the new decade with only his wife Linda by his side", https://twitter.com/matbroughty, MB, https://www.someindybookstore.com/
A.N.Author, A Title, "A review", https://twitter.com/matbroughty, MB, https://www.someindybookstore.com/
