"1970-01-01T00:00","Arrested Development","For The FKN Love","https://twitter.com/LlSTENlNG_PARTY/status/1483477242948861952","","@ADtheBand:@Configa:@Speech__:@Tim_Burgess","","https://open.spotify.com/album/7ql593Au4JADM3UHtIw7cs","https://i.scdn.co/image/ab67616d00001e0217af2e15eebfb6d32eaa7939","https://i.scdn.co/image/ab67616d0000485117af2e15eebfb6d32eaa7939","2021-12-10","-1","https://i.scdn.co/image/ab67616d0000b27317af2e15eebfb6d32eaa7939"
"2020-03-23T22:00","The Charlatans","Some Friendly","https://twitter.com/Tim_Burgess/status/1241686370789326849","https://timstwitterlisteningparty.com/pages/replay/feed_29.html","@thecharlatans:@Tim_Burgess","https://twitter.com/LlSTENlNG_PARTY/timelines/1257404071683784704","https://open.spotify.com/album/0JWdN38GXUuoG3zHmXKmnj","https://i.scdn.co/image/ab67616d00001e02cfbbe17e868531b690a3a171","https://i.scdn.co/image/ab67616d00004851cfbbe17e868531b690a3a171","1990-10-08","1","https://i.scdn.co/image/ab67616d0000b273cfbbe17e868531b690a3a171"
"2020-03-24T21:00","The Slow Readers Club","The Joy Of the Return","https://twitter.com/slowreadersclub/status/1242553248394993666","https://timstwitterlisteningparty.com/pages/replay/feed_30.html","@slowreadersclub:@Tim_Burgess","https://twitter.com/LlSTENlNG_PARTY/timelines/1257404076171694080","https://open.spotify.com/album/3AghJLF4yVqdau5NpQYQYg","https://i.scdn.co/image/ab67616d00001e022a257b21137ea4504d6333f3","https://i.scdn.co/image/ab67616d000048512a257b21137ea4504d6333f3","2020-03-20","2","https://i.scdn.co/image/ab67616d0000b2732a257b21137ea4504d6333f3"
"2020-03-24T22:00","Franz Ferdinand","Franz Ferdinand","https://twitter.com/Tim_Burgess/status/1241686370789326849","https://timstwitterlisteningparty.com/pages/replay/feed_31.html","@Franz_Ferdinand:@alkapranos:@B0bHardy:@Tim_Burgess","https://twitter.com/LlSTENlNG_PARTY/timelines/1257404095830331393","https://open.spotify.com/album/0mUEGMT2YlzCWGeWOJjBKD","https://i.scdn.co/image/ab67616d00001e02bf68b5be16edfc6f489a17d7","https://i.scdn.co/image/ab67616d00004851bf68b5be16edfc6f489a17d7","2004-02-09","3","https://i.scdn.co/image/ab67616d0000b273bf68b5be16edfc6f489a17d7"
"2020-03-25T22:00","Blur","Parklife","https://twitter.com/DaveRowntree/status/1242947379088838659","https://timstwitterlisteningparty.com/pages/replay/feed_32.html","@blurofficial:@DaveRowntree:@Tim_Burgess","https://twitter.com/LlSTENlNG_PARTY/timelines/1257404104122515459","https://open.spotify.com/album/0DBkFC6739trhCoVreZyds","https://i.scdn.co/image/ab67616d00001e02feb7a3ba7fdc8d9e7031281f","https://i.scdn.co/image/ab67616d00004851feb7a3ba7fdc8d9e7031281f","1994-04-25","4","https://i.scdn.co/image/ab67616d0000b273feb7a3ba7fdc8d9e7031281f"
"2020-03-26T22:00","Ride","Going Blank Again","https://twitter.com/Andybebop/status/1243309697651916800","https://timstwitterlisteningparty.com/pages/replay/feed_33.html","@rideox4:@Andybebop:@doctorloz:@Tim_Burgess","https://twitter.com/LlSTENlNG_PARTY/timelines/1257404109004603392","https://open.spotify.com/album/5l70cCHX1QzN680J68rblF","https://i.scdn.co/image/ab67616d00001e02b6aeeb6414c5d3ddac43be2a","https://i.scdn.co/image/ab67616d00004851b6aeeb6414c5d3ddac43be2a","1992-03-09","5","https://i.scdn.co/image/ab67616d0000b273b6aeeb6414c5d3ddac43be2a"
"2020-03-27T22:00","Oasis","Definitely Maybe","https://www.nme.com/news/music/oasis-bonehead-shares-some-untold-stories-from-definitely-maybe-sessions-during-online-listening-party-2636696?utm_source=dlvr.it&utm_medium=twitter","https://timstwitterlisteningparty.com/pages/replay/feed_28.html","@BoneheadsPage:@KCMANC:@MicrodotCreativ:@Tim_Burgess","https://twitter.com/LlSTENlNG_PARTY/timelines/1257404118051639296","https://open.spotify.com/album/3jnyR6lycuXlPjNH7FVRf5","https://i.scdn.co/image/ab67616d00001e0267a6b5bbcacce62382eaf669","https://i.scdn.co/image/ab67616d0000485167a6b5bbcacce62382eaf669","1994-08-29","6","https://i.scdn.co/image/ab67616d0000b27367a6b5bbcacce62382eaf669"
"2020-03-28T22:00","The Charlatans","Tellin' Stories","https://twitter.com/Tim_Burgess/status/1243979518722924544","https://timstwitterlisteningparty.com/pages/replay/feed_88.html","@thecharlatans:@markcharlatan:@Tim_Burgess","https://twitter.com/LlSTENlNG_PARTY/timelines/1257550331287830528","https://open.spotify.com/album/62am3NUQVvmFOqLNy4EMBw","https://i.scdn.co/image/ab67616d00001e0280b82185eb7ba7ada55851a9","https://i.scdn.co/image/ab67616d0000485180b82185eb7ba7ada55851a9","1997-04-21","7","https://i.scdn.co/image/ab67616d0000b27380b82185eb7ba7ada55851a9"
"2020-03-30T21:00","Cornershop","England is a Garden","https://twitter.com/CornershopHQ/status/1244246489615994885","https://timstwitterlisteningparty.com/pages/replay/feed_34.html","@CornershopHQ:@Tim_Burgess","https://twitter.com/LlSTENlNG_PARTY/timelines/1257404126234902528","https://open.spotify.com/album/6gHLOAoKYiuSjrZOFksGrQ","https://i.scdn.co/image/ab67616d00001e021cf7c6f9d45c42127c265a53","https://i.scdn.co/image/ab67616d000048511cf7c6f9d45c42127c265a53","2020-03-06","8","https://i.scdn.co/image/ab67616d0000b2731cf7c6f9d45c42127c265a53"
"2020-03-30T22:00","Sleaford Mods","Key Markets","https://twitter.com/sleafordmods/status/1244552647669096448","https://timstwitterlisteningparty.com/pages/replay/feed_35.html","@sleafordmods:@Tim_Burgess","https://twitter.com/LlSTENlNG_PARTY/timelines/1257404133436522501","https://open.spotify.com/album/5v5XTM8IhfQUzKgaarEpPK","https://i.scdn.co/image/ab67616d00001e02b00ca91a04cd21e70c346599","https://i.scdn.co/image/ab67616d00004851b00ca91a04cd21e70c346599","2015-07-24","9","https://i.scdn.co/image/ab67616d0000b273b00ca91a04cd21e70c346599"
